Retained internal modes,Reduction time (s),Eigenproblem time (s),CB Mode 1 error (%),CB Mode 2 error (%),CB Mode 3 error (%),CB Mode 4 error (%),CB Mode 5 error (%),CB Mode 6 error (%),CB Mode 1 freq,CB Mode 2 freq,CB Mode 3 freq,CB Mode 4 freq,CB Mode 5 freq,CB Mode 6 freq,GI Mode 1 freq,GI Mode 2 freq,GI Mode 3 freq,GI Mode 4 freq,GI Mode 5 freq,GI Mode 6 freq,GI Mode 1 error (%),GI Mode 2 error (%),GI Mode 3 error (%),GI Mode 4 error (%),GI Mode 5 error (%),GI Mode 6 error (%),Full Mode 1 freq,Full Mode 2 freq,Full Mode 3 freq,Full Mode 4 freq,Full Mode 5 freq,Full Mode 6 freq
21,1.32317139999941,0.00039439997635781765,0.014747041019765612,0.0729214664828084,0.40889879025440096,0.9570143011339148,0.6623381332032444,0.16527359119872018,2.573396655295256,6.849040931411792,10.900232780890063,13.039912148487334,13.958460510270257,14.9017889276081,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
22,1.4808511000010185,0.0003977999440394342,0.014747031797407868,0.07291688079834605,0.4088987171053567,0.9570057660605313,0.6623035177819542,0.16527124825017492,2.5733966550579632,6.849040617565247,10.900232772949117,13.03991104607154,13.958455710282495,14.90178857904294,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
23,1.2744512999779545,0.00040389999048784375,0.014747031676211848,0.07291688075392448,0.40889870420565533,0.9570057379519217,0.6623019237505717,0.16527123873175556,2.573396655054845,6.849040617562207,10.900232771548746,13.039911042440947,13.958455489244274,14.901788577626865,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
24,0.9730799999670126,0.00041099998634308577,0.014746654200526675,0.06536925207240488,0.4088986820362352,0.954499859962832,0.6623009203373385,0.16054092489758848,2.5733966453423305,6.848524054070133,10.900232769142068,13.039587375689718,13.958455350104808,14.901084839337228,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
25,0.7155368000385351,0.00041070004226639867,0.005842353095640077,0.06439023476915771,0.13976360593010065,0.7398473920602446,0.6621154134402943,0.12041463411894013,2.5731675361423476,6.848457049634924,10.871015886829799,13.011862216192066,13.95842962657459,14.89511517046704,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
26,0.7300307999830693,0.0004507999983616173,0.005842352651122352,0.06438637178411939,0.13976357077283091,0.739847373960889,0.6620963694701584,0.12041422944485862,2.57316753613091,6.848456785250291,10.87101588301318,13.011862213854299,13.958426985820262,14.895115110262864,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
27,0.8396023000241257,0.00045220000902190804,0.005733507511556572,0.06379709099971483,0.12481734832329572,0.5158559824616558,0.6620902753677188,0.09501387127955944,2.5731647355267353,6.848416454577884,10.869393344514524,12.982930810846923,13.95842614077444,14.891336247963643,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
28,0.7618122000130825,0.000450699997600168,0.005733507278709022,0.06379708931941659,0.12481705381421823,0.5158551536366985,0.6620844531350059,0.0950132518151582,2.573164735520744,6.848416454462884,10.86939331254308,12.982930703793395,13.958425333427751,14.89133615580468,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
29,0.7583574000163935,0.0004512000014074147,0.0057335073373221915,0.06379704414801059,0.12481701516367995,0.5158551441920669,0.6620825779675449,0.09501318945077061,2.5731647355222522,6.84841645137133,10.869393308347238,12.982930702573498,13.958425073405468,14.891336146526605,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
30,0.8558576999930665,0.0004529000143520534,0.005733507188096789,0.06379704359569328,0.12481701456133641,0.5158551339910573,0.6620823581038798,0.09501316417913128,2.5731647355184126,6.848416451333529,10.869393308281849,12.982930701255905,13.958425042917817,14.891336142766892,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
